 ,Name,Year,Races,WatersideA,WatersideB,WatersideC,WatersideD,DWSenior,DWJunior,DWEndeavour,DWVetJunior,DWSingles
2008 - Kelly Amy & Singleton Ella,Kelly Amy & Singleton Ella,2008,3,0,3.57,4.67,0,0,24.32,0,0,0
2008 - Kelly Nanette & Shelley Piran,Kelly Nanette & Shelley Piran,2008,6,2,2.52,3.42,5.23,19.73,0,0,0,0
2008 - Kemp Luke & Miller James,Kemp Luke & Miller James,2008,6,2.47,3.07,4.1,6.45,0,0,0,0,0
2008 - Kersey Tom & Martin Tom,Kersey Tom & Martin Tom,2008,1,0,0,0,0,26.98,0,0,0,0
2008 - King Amoret,King Amoret,2008,1,1.95,0,0,0,0,0,0,0,0
2008 - King Dane,King Dane,2008,1,2.5,0,0,0,0,0,0,0,0
2008 - King Hank,King Hank,2008,1,0,0,0,0,0,0,0,0,19.28
2008 - King Hank & Lewis Allen,King Hank & Lewis Allen,2008,5,1.9,2.47,3.18,5.08,0,0,0,0,0
2008 - King Robert,King Robert,2008,1,1.93,0,0,0,0,0,0,0,0
2008 - Knight Robert,Knight Robert,2008,1,2.4,0,0,0,0,0,0,0,0
2008 - Ko Richard & Mackie Benjamin,Ko Richard & Mackie Benjamin,2008,2,0,0,4.92,0,0,22.97,0,0,0
2008 - Kwok Terence & Lee Jessica,Kwok Terence & Lee Jessica,2008,1,0,0,5.15,0,0,0,0,0,0
2008 - Lambert Katie,Lambert Katie,2008,1,2.72,0,0,0,0,0,0,0,0
2008 - Lane Hugh & Tuffley Nigel,Lane Hugh & Tuffley Nigel,2008,1,0,0,4.13,0,0,0,0,0,0
2008 - Lanighan Paul,Lanighan Paul,2008,2,1.95,0,3.12,0,0,0,0,0,0
2008 - Latimer Michael,Latimer Michael,2008,1,3.3,0,0,0,0,0,0,0,0
2008 - Lawlor Suzanne & O'connor Eileen,Lawlor Suzanne & O'connor Eileen,2008,2,0,0,5.2,0,0,25.18,0,0,0
2008 - Lazell Freddie & Nelson-Piercy Nick,Lazell Freddie & Nelson-Piercy Nick,2008,5,0,2.77,3.75,5.8,0,0,0,18.9,0
2008 - Lazell Freddie & Newon-P Nick,Lazell Freddie & Newon-P Nick,2008,1,2.1,0,0,0,0,0,0,0,0
2008 - Lee Natalie & Whiting Carolyn,Lee Natalie & Whiting Carolyn,2008,1,2.92,0,0,0,0,0,0,0,0
2008 - Leitch James,Leitch James,2008,1,2.25,0,0,0,0,0,0,0,0
2008 - Leonard James & Lofthouse Carl,Leonard James & Lofthouse Carl,2008,5,2.5,3.28,4.25,6.77,0,0,0,0,0
2008 - Lewis James & Newman george,Lewis James & Newman george,2008,4,2.6,0,4.45,6.6,0,22.52,0,0,0
2008 - Lewis Richard & Owen Keith,Lewis Richard & Owen Keith,2008,2,1.82,2.4,0,0,0,0,0,0,0
2008 - Linnell Louise,Linnell Louise,2008,1,2.35,0,0,0,0,0,0,0,0
2008 - Linnet A & Rosedale Nicholas,Linnet A & Rosedale Nicholas,2008,1,0,0,3.97,0,0,0,0,0,0
2008 - Lipscombe Richard,Lipscombe Richard,2008,1,0,3.12,0,0,0,0,0,0,0
2008 - Littlehales K & Unwin Nigel,Littlehales K & Unwin Nigel,2008,2,2.03,0,3.55,0,0,0,0,0,0
2008 - Littlehales Kevin,Littlehales Kevin,2008,1,0,2.95,0,0,0,0,0,0,0
2008 - Littlehales Kevin & Unwin Nigel,Littlehales Kevin & Unwin Nigel,2008,1,0,0,0,0,19.55,0,0,0,0
2008 - Lo Helen & Lo Joseph,Lo Helen & Lo Joseph,2008,5,2.25,2.88,3.88,5.9,0,0,0,0,0
2008 - Lorenzi Marc & Preston Chris,Lorenzi Marc & Preston Chris,2008,1,0,0,0,4.7,0,0,0,0,0
2008 - Lovell Richard & Watson Jean,Lovell Richard & Watson Jean,2008,2,2.02,0,3.62,0,0,0,0,0,0
2008 - Mackenzie Andrew,Mackenzie Andrew,2008,1,2.52,0,0,0,0,0,0,0,0
2008 - Maguire Ginge & Morris Taff,Maguire Ginge & Morris Taff,2008,6,2.27,2.82,3.75,5.68,0,0,0,0,0
2008 - Mainprize Peter & Wise Ewan,Mainprize Peter & Wise Ewan,2008,1,2.17,0,0,0,0,0,0,0,0
2008 - Marcar Dominic & Morgan Alys,Marcar Dominic & Morgan Alys,2008,3,0,3.57,5.07,0,0,24.33,0,0,0
2008 - Markus Charles & Milward Max,Markus Charles & Milward Max,2008,4,2.4,0,0,6.07,0,20.75,0,0,0
2008 - Martin Dean & Martin Lorraine,Martin Dean & Martin Lorraine,2008,4,0,3,3.93,6.1,0,0,0,0,0
2008 - Martin Sean,Martin Sean,2008,2,2.32,0,0,0,0,0,0,0,21.18
2008 - Mason Al,Mason Al,2008,1,0,3.2,0,0,0,0,0,0,0
2008 - Mason Hayleigh,Mason Hayleigh,2008,1,1.92,0,0,0,0,0,0,0,0
2008 - Masson J & Young G,Masson J & Young G,2008,5,2.53,3.05,3.92,5.77,0,0,0,0,0
2008 - Mattison Ian & Wigg Peter,Mattison Ian & Wigg Peter,2008,3,2.97,3.75,5.05,0,0,0,0,0,0
2008 - Maunder Antonia & Maunder Julia,Maunder Antonia & Maunder Julia,2008,1,2.37,0,0,0,0,0,0,0,0
2008 - Maycock Andrew & Maycock Peter,Maycock Andrew & Maycock Peter,2008,5,1.8,2.28,3.28,4.93,0,0,0,0,0
2008 - Mayers James,Mayers James,2008,1,1.82,0,0,0,0,0,0,0,0
2008 - McGichen Neil & McMulkin Tom,McGichen Neil & McMulkin Tom,2008,6,2.83,3.02,3.88,5.88,0,0,0,0,0
2008 - McIntyre Deane,McIntyre Deane,2008,3,0,2.48,3.3,5.02,0,0,0,0,0
2008 - McLean Ian & Wood Katie,McLean Ian & Wood Katie,2008,1,0,2.97,0,0,0,0,0,0,0
2008 - McLean Mathew,McLean Mathew,2008,1,2.22,0,0,0,0,0,0,0,0
2008 - Mclean Mathew & Rooney Sophie,Mclean Mathew & Rooney Sophie,2008,1,0,2.65,0,0,0,0,0,0,0
2008 - Mcleod Neil & Webb Joanne,Mcleod Neil & Webb Joanne,2008,2,2.2,2.87,0,0,0,0,0,0,0
2008 - McMulkin Tom & Mellor Guy,McMulkin Tom & Mellor Guy,2008,1,0,0,0,0,21.37,0,0,0,0
2008 - Meachin Rebekah & Semken Will,Meachin Rebekah & Semken Will,2008,3,2.7,0,4.37,6.78,0,0,0,0,0
2008 - Menday Lee & Thompson Les,Menday Lee & Thompson Les,2008,3,2.7,3.42,0,0,26.45,0,0,0,0
2008 - Menheneott Bess & Treffry Thomas,Menheneott Bess & Treffry Thomas,2008,3,2.58,0,4.73,0,0,25.13,0,0,0
2008 - Meredith Rachel & Missen Hannah,Meredith Rachel & Missen Hannah,2008,2,2.65,3.48,0,0,0,0,0,0,0
2008 - Merrett Will & O'neil Jamie,Merrett Will & O'neil Jamie,2008,1,0,0,4.12,0,0,0,0,0,0
2008 - Metcalfe Vicky,Metcalfe Vicky,2008,1,2.95,0,0,0,0,0,0,0,0
2008 - Millar David,Millar David,2008,1,2,0,0,0,0,0,0,0,0
2008 - Mills Matthew,Mills Matthew,2008,2,1.93,0,3.52,0,0,0,0,0,0
2008 - Minkley Richard & Myles Tom,Minkley Richard & Myles Tom,2008,1,0,0,0,0,0,28.73,0,0,0
2008 - Missen Stan,Missen Stan,2008,1,1.82,0,0,0,0,0,0,0,0
2008 - Mitchell Toby & Smith Matt,Mitchell Toby & Smith Matt,2008,1,0,0,0,0,23.45,0,0,0,0
2008 - Mobbs Graham & Wyndham Charlie,Mobbs Graham & Wyndham Charlie,2008,3,0,3.52,0,7.23,0,0,24.27,0,0
2008 - Moran Jayne & Moran Laura,Moran Jayne & Moran Laura,2008,1,2.35,0,0,0,0,0,0,0,0
2008 - Morrison Will & Privett Jack,Morrison Will & Privett Jack,2008,3,2.88,3.73,0,0,0,23.87,0,0,0
2008 - Morton Nick,Morton Nick,2008,2,2.42,3.3,0,0,0,0,0,0,0
2008 - Morton Richard & Wheeler Peter,Morton Richard & Wheeler Peter,2008,1,0,0,0,0,28.58,0,0,0,0
2008 - Mossman David & Summers Roy,Mossman David & Summers Roy,2008,2,0,0,5.73,0,0,0,27.13,0,0
2008 - Mount Jonathon & Pearce Ryan,Mount Jonathon & Pearce Ryan,2008,2,0,0,4.07,0,0,20.17,0,0,0
2008 - Mudd Johnathan,Mudd Johnathan,2008,5,2.5,3.32,4.32,6.78,0,0,0,0,0
2008 - Muller Tim & Reif Frederick,Muller Tim & Reif Frederick,2008,6,1.83,2.32,3.27,4.85,0,16.63,0,0,0
2008 - Mulloy Chris & Wilkins Tony,Mulloy Chris & Wilkins Tony,2008,1,3.38,0,0,0,0,0,0,0,0
2008 - Murnaghan Liz & Rees-Clark Tracy,Murnaghan Liz & Rees-Clark Tracy,2008,5,2.3,2.95,3.95,6.08,0,0,0,0,0
2008 - Murphy Alice & Warland Graham,Murphy Alice & Warland Graham,2008,2,2.38,3.27,0,0,0,0,0,0,0
2008 - Murphy Melanie & Pearce Ray,Murphy Melanie & Pearce Ray,2008,3,0,3.23,4.2,6.45,0,0,0,0,0
2008 - Murr Antony,Murr Antony,2008,6,2.67,3.6,4.78,7.15,0,0,0,0,22.67
2008 - Myatt Huw & Rigge Christopher,Myatt Huw & Rigge Christopher,2008,3,2.18,2.93,0,0,0,20.17,0,0,0
2008 - Myers Joe & Pickett Emma,Myers Joe & Pickett Emma,2008,4,2.5,3.27,0,6.63,0,20.1,0,0,0
2008 - Nadal Mick & Nash Sarah,Nadal Mick & Nash Sarah,2008,1,2.13,0,0,0,0,0,0,0,0
2008 - Nadal Mick & Walker Bethany,Nadal Mick & Walker Bethany,2008,1,0,2.88,0,0,0,0,0,0,0
2008 - Negus Frankie,Negus Frankie,2008,1,2.03,0,0,0,0,0,0,0,0
2008 - Newbutt Brian & Oliver George,Newbutt Brian & Oliver George,2008,3,5.12,3.02,0,0,0,0,0,0,0
2008 - Newell William & Papworth-Smith James,Newell William & Papworth-Smith James,2008,1,0,0,3.88,0,0,0,0,0,0
2008 - Nicholson Leon,Nicholson Leon,2008,1,2.15,0,0,0,0,0,0,0,0
2008 - Nicholson Leon & Revilla Ferran,Nicholson Leon & Revilla Ferran,2008,1,0,2.57,0,0,0,0,0,0,0
2008 - Nixon Simon,Nixon Simon,2008,1,2.57,0,0,0,0,0,0,0,0
2008 - North Oliver & North Robin,North Oliver & North Robin,2008,6,2.52,2.98,3.88,5.95,22.83,0,0,0,0
2008 - Northrop Roger & Williamson David,Northrop Roger & Williamson David,2008,1,0,0,0,0,30.28,0,0,0,0
2008 - O'leary Chris,O'leary Chris,2008,1,0,0,4.65,0,0,0,0,0,0
2008 - O'Neill Jamie & Thomas Ed,O'Neill Jamie & Thomas Ed,2008,1,0,0,0,0,0,19.98,0,0,0
2008 - O'Riordan Michael & Turner Charlotte,O'Riordan Michael & Turner Charlotte,2008,3,2.58,3.22,0,0,0,22.03,0,0,0
2008 - O-Neil Jamie & Thomas Ed,O-Neil Jamie & Thomas Ed,2008,1,0,3.08,0,0,0,0,0,0,0
2008 - Oakley Robin,Oakley Robin,2008,1,0,0,0,6.37,0,0,0,0,0
2008 - Odemaere Jacques,Odemaere Jacques,2008,1,0,0,0,0,0,0,0,0,22.3
2008 - Outen Sarah,Outen Sarah,2008,3,3.02,3.73,0,0,0,0,0,0,25.82
2008 - Paine Howard & Rothwell Paul,Paine Howard & Rothwell Paul,2008,1,0,0,0,0,0,0,25.77,0,0
2008 - Palmer Ross & Perry Mark,Palmer Ross & Perry Mark,2008,3,2.67,3.4,0,6.48,0,0,0,0,0
2008 - Parker J & Parker J,Parker J & Parker J,2008,1,2.15,0,0,0,0,0,0,0,0
2008 - Parker John,Parker John,2008,2,1.82,2.35,0,0,0,0,0,0,0
2008 - Parker Philip & Peers Sally,Parker Philip & Peers Sally,2008,3,0,3.27,4.38,0,0,0,21.78,0,0
2008 - Parker Sophie,Parker Sophie,2008,1,2.38,0,0,0,0,0,0,0,0
2008 - Peake Owen,Peake Owen,2008,5,1.82,2.22,3.08,4.67,0,0,0,0,0
2008 - Pearse Philip & Pearse Tim,Pearse Philip & Pearse Tim,2008,3,1.78,2.32,3.28,0,0,0,0,0,0
2008 - Pearse Philip & Pearse Timothy,Pearse Philip & Pearse Timothy,2008,1,0,0,0,0,18.35,0,0,0,0
2008 - Pedlar Dave & West Stuart,Pedlar Dave & West Stuart,2008,4,1.68,2.2,0,4.75,17.55,0,0,0,0
2008 - Pender Kieron,Pender Kieron,2008,1,0,0,4.82,0,0,0,0,0,0
2008 - Penn Terry,Penn Terry,2008,2,2.5,3.78,0,0,0,0,0,0,0
2008 - Peters Claire & Peters Mark,Peters Claire & Peters Mark,2008,1,0,0,0,0,0,0,24.23,0,0
2008 - Peters George,Peters George,2008,1,2.7,0,0,0,0,0,0,0,0
2008 - Peyto Evelyn & Scott Johnathan,Peyto Evelyn & Scott Johnathan,2008,2,0,0,4.27,6.68,0,0,0,0,0
2008 - Philip Mike & Toylor Mark,Philip Mike & Toylor Mark,2008,1,2.18,0,0,0,0,0,0,0,0
2008 - Pigott Mike,Pigott Mike,2008,3,2.18,2.92,0,6.12,0,0,0,0,0
2008 - Pilditch,Pilditch,2008,1,2.9,0,0,0,0,0,0,0,0
2008 - Playle William & Rowley Ian,Playle William & Rowley Ian,2008,1,0,0,0,0,0,0,24.27,0,0
2008 - Pothecary Roger & Pothecary Terry,Pothecary Roger & Pothecary Terry,2008,1,0,0,0,0,0,0,26.52,0,0
2008 - Potterton Tony & Simpson Keith,Potterton Tony & Simpson Keith,2008,2,2.02,2.72,0,0,0,0,0,0,0
2008 - Preston Chris,Preston Chris,2008,3,1.93,2.63,3.53,0,0,0,0,0,0
2008 - Priddis David & Richardson John,Priddis David & Richardson John,2008,2,0,0,4.5,0,24.42,0,0,0,0
2008 - Punter Michael & Wood Katie,Punter Michael & Wood Katie,2008,3,2.27,0,4.02,0,0,0,0,21.48,0
2008 - Purcell Frederick & Watson Randall,Purcell Frederick & Watson Randall,2008,1,2.08,0,0,0,0,0,0,0,0
2008 - Pyke Angus & Wilson Claire,Pyke Angus & Wilson Claire,2008,1,2.9,0,0,0,0,0,0,0,0
2008 - Rance Steve & Wells Steve,Rance Steve & Wells Steve,2008,1,1.93,0,0,0,0,0,0,0,0
2008 - Rance Steve & Willis Stephen,Rance Steve & Willis Stephen,2008,4,0,2.53,3.42,5.42,0,0,0,0,0
2008 - Randall Alastair,Randall Alastair,2008,1,0,0,0,0,0,0,0,0,20.18
2008 - Reda Torsten & Sherwood Steve,Reda Torsten & Sherwood Steve,2008,1,0,0,0,0,33,0,0,0,0
2008 - Richardson Steve & Trussler Dean,Richardson Steve & Trussler Dean,2008,4,2.85,0,4.77,7.38,28.82,0,0,0,0
2008 - Roberts Lucy & Wardle Niel,Roberts Lucy & Wardle Niel,2008,2,2.85,0,5.13,0,0,0,0,0,0
2008 - Rogers Jerry,Rogers Jerry,2008,3,0,3.7,4.85,7.08,0,0,0,0,0
2008 - Rowell Gary,Rowell Gary,2008,1,1.88,0,0,0,0,0,0,0,0
2008 - Sams Kevin & Stanners Andy,Sams Kevin & Stanners Andy,2008,3,2.47,0,0,6.5,23.45,0,0,0,0
2008 - Sawyer Robin & Sharpe Chris,Sawyer Robin & Sharpe Chris,2008,1,0,0,3.92,0,0,0,0,0,0
2008 - Schofield Becky,Schofield Becky,2008,1,1.9,0,0,0,0,0,0,0,0
2008 - Scopes Paul & Statham Peter,Scopes Paul & Statham Peter,2008,2,0,0,0,6.38,0,20,0,0,0
2008 - Seaford Anita,Seaford Anita,2008,2,2.35,3.25,0,0,0,0,0,0,0
2008 - Sealey Jack,Sealey Jack,2008,1,0,2.75,0,0,0,0,0,0,0
2008 - Seth-Kapoor Shobhana & Walker Bethany,Seth-Kapoor Shobhana & Walker Bethany,2008,1,2.48,0,0,0,0,0,0,0,0
2008 - Shannon Martin,Shannon Martin,2008,1,0,0,0,0,0,0,0,0,27.45
2008 - Sharp Chris,Sharp Chris,2008,1,0,0,0,0,0,0,0,0,21.28
2008 - Sharp L & Tinniswood Alex,Sharp L & Tinniswood Alex,2008,1,0,0,0,6.32,0,0,0,0,0
2008 - Sharpe Langley & Tinniswood Alex,Sharpe Langley & Tinniswood Alex,2008,1,0,0,0,0,24.72,0,0,0,0
2008 - Sharpe Tom,Sharpe Tom,2008,2,1.85,2.37,0,0,0,0,0,0,0
2008 - Sheffield Allister & Thomas Pete,Sheffield Allister & Thomas Pete,2008,1,0,0,0,0,0,0,17.87,0,0
2008 - Sillitoe Chloe & Wood Megan,Sillitoe Chloe & Wood Megan,2008,1,2.48,0,0,0,0,0,0,0,0
2008 - Simmons Hannah,Simmons Hannah,2008,1,0,3.15,0,0,0,0,0,0,0
2008 - Simpson Edmund,Simpson Edmund,2008,1,3.72,0,0,0,0,0,0,0,0
2008 - Smee Alistair & Smee Tim,Smee Alistair & Smee Tim,2008,1,0,0,0,0,27.65,0,0,0,0
2008 - Smith Howard,Smith Howard,2008,1,2.73,0,0,0,0,0,0,0,0
2008 - Smith Isobel & Smith Naomi,Smith Isobel & Smith Naomi,2008,5,2.08,2.8,3.8,6.08,0,0,0,0,0
2008 - Smith M,Smith M,2008,1,0,3.45,0,0,0,0,0,0,0
2008 - Smith Tony & Woolacott Adrian,Smith Tony & Woolacott Adrian,2008,6,2.57,3.33,4.3,6.58,24.47,0,0,0,0
2008 - Stagg Richard V,Stagg Richard V,2008,1,0,2.85,0,0,0,0,0,0,0
2008 - Stevens Chris & Williams Angela,Stevens Chris & Williams Angela,2008,2,2.77,3.5,0,0,0,0,0,0,0
2008 - Stocker Mark,Stocker Mark,2008,4,2.13,2.9,0,5.85,0,0,0,0,24.1
2008 - Stonehouse Graham,Stonehouse Graham,2008,3,2.2,2.88,3.83,0,0,0,0,0,0
2008 - Tawney Jack & Wilton John,Tawney Jack & Wilton John,2008,1,0,0,4.08,0,0,0,0,0,0
2008 - Taylor Douglas,Taylor Douglas,2008,3,2.2,2.75,3.52,0,0,0,0,0,0
2008 - Taylor Jules,Taylor Jules,2008,2,2.12,0,0,0,0,0,0,0,20.17
2008 - Taylor Nikki,Taylor Nikki,2008,2,2.02,2.7,0,0,0,0,0,0,0
2008 - Tee Daniel,Tee Daniel,2008,1,0,0,0,0,0,0,0,0,26
2008 - Tessler Sarar & Watson Tessa,Tessler Sarar & Watson Tessa,2008,2,0,3.8,5.28,0,0,0,0,0,0
2008 - Thompson Terry,Thompson Terry,2008,1,2.67,0,0,0,0,0,0,0,0
2008 - Tiernan Brian & Turner Aidy,Tiernan Brian & Turner Aidy,2008,2,0,4.35,5.37,0,0,0,0,0,0
2008 - Tiernan Vrian & Turner Aidy,Tiernan Vrian & Turner Aidy,2008,1,3.63,0,0,0,0,0,0,0,0
2008 - Toit Dann. Du,Toit Dann. Du,2008,2,2.08,0,3.45,0,0,0,0,0,0
2008 - Trow Rory & Yates Jay,Trow Rory & Yates Jay,2008,2,2.28,3.17,0,0,0,0,0,0,0
2008 - Turner Mark,Turner Mark,2008,1,2.7,0,0,0,0,0,0,0,0
2008 - Van Deventer Gert & Van Deventer Marna,Van Deventer Gert & Van Deventer Marna,2008,1,0,0,0,0,22.3,0,0,0,0
2008 - Walker Nigel & Walker Richard,Walker Nigel & Walker Richard,2008,1,0,0,0,0,0,0,26.3,0,0
2008 - Walsh Dave,Walsh Dave,2008,3,2.63,3.5,4.48,0,0,0,0,0,0
2008 - Webster James,Webster James,2008,2,2.05,2.85,0,0,0,0,0,0,0
2008 - Welch Charlie,Welch Charlie,2008,1,2.32,0,0,0,0,0,0,0,0
2008 - Wells Paul R,Wells Paul R,2008,6,1.83,2.37,3.08,4.82,0,0,0,0,16.13
2008 - Wells Thomas,Wells Thomas,2008,3,2.43,0,4.48,0,0,0,0,0,24.13
2008 - Westwater Tom,Westwater Tom,2008,1,0,4.35,0,0,0,0,0,0,0
2008 - Wheeler Adrian,Wheeler Adrian,2008,2,2.28,3.2,0,0,0,0,0,0,0
2008 - Wibrew Emily & Wibrew Michael,Wibrew Emily & Wibrew Michael,2008,2,2.22,3.12,0,0,0,0,0,0,0
2008 - Willis Sam,Willis Sam,2008,1,1.98,0,0,0,0,0,0,0,0
2008 - Wilson Charles,Wilson Charles,2008,6,2.03,2.67,3.8,5.77,0,0,0,0,19.57
2008 - Wright Michael,Wright Michael,2008,2,1.85,2.35,0,0,0,0,0,0,0
2008 - Wright Stewart,Wright Stewart,2008,1,3.33,0,0,0,0,0,0,0,0
2008 - Zahn Nicole,Zahn Nicole,2008,1,0,3.6,0,0,0,0,0,0,0
2009 - ,,2009,1,0,0,3.47,0,0,0,0,0,0
2009 - Absolom Peter & Branch Christopher,Absolom Peter & Branch Christopher,2009,2,2.45,3.27,0,0,0,0,0,0,0
2009 - Abson William & Farleigh Steve,Abson William & Farleigh Steve,2009,1,0,2.78,0,0,0,0,0,0,0
2009 - Abson William & Scott Ian,Abson William & Scott Ian,2009,1,2.4,0,0,0,0,0,0,0,0
2009 - Achilleos Alex & Flack Mike,Achilleos Alex & Flack Mike,2009,1,2.67,0,0,0,0,0,0,0,0
2009 - Adams Josephine & Engels Harry,Adams Josephine & Engels Harry,2009,3,0,3.57,0,7.62,0,23.58,0,0,0
2009 - Adams Mark & Parrish Mark,Adams Mark & Parrish Mark,2009,1,2.75,0,0,0,0,0,0,0,0
2009 - Adams Peter & Llewellyn Gareth,Adams Peter & Llewellyn Gareth,2009,6,2.55,3.17,4.22,6.13,23.67,0,0,0,0
2009 - Adams Tamsin & Robinson Kate,Adams Tamsin & Robinson Kate,2009,3,0,0,4.47,6.53,25.72,0,0,0,0
2009 - Adie Edward & Lyons Joe,Adie Edward & Lyons Joe,2009,3,0,0,3.3,5.07,20.48,0,0,0,0
2009 - Adie Edward & Wood Toby,Adie Edward & Wood Toby,2009,1,0,2.78,0,0,0,0,0,0,0
2009 - Adie Fiona & Simmons Anastasia,Adie Fiona & Simmons Anastasia,2009,3,0,3.42,4.32,0,0,21.85,0,0,0
2009 - Adnitt Nick,Adnitt Nick,2009,5,2.57,3.47,4.32,6.5,0,0,0,0,0
2009 - Adshead Maurice & Lawes Vince,Adshead Maurice & Lawes Vince,2009,1,0,0,0,0,27.68,0,0,0,0
2009 - Adshead Maurice & Lawes Vincent,Adshead Maurice & Lawes Vincent,2009,5,2.73,3.42,4.65,7.05,0,0,0,0,0
2009 - Aldridge Gregory & Clark Rory,Aldridge Gregory & Clark Rory,2009,5,2.6,3.3,4.78,6.8,0,0,0,0,0
2009 - Alexander Mark,Alexander Mark,2009,2,0,2.95,3.82,0,0,0,0,0,0
2009 - Allen-Smith Lucy & Day Samuel,Allen-Smith Lucy & Day Samuel,2009,2,0,4.05,4.78,0,0,0,0,0,0
2009 - Allon-Smith Lucy & Day Samuel,Allon-Smith Lucy & Day Samuel,2009,1,0,0,0,0,0,23.05,0,0,0
2009 - Alston Gus & Moore-Barton Hannah,Alston Gus & Moore-Barton Hannah,2009,2,0,0,0,7.9,30.05,0,0,0,0
2009 - Appleby Paul & Seward Dave,Appleby Paul & Seward Dave,2009,5,2.02,2.7,3.6,5.4,0,0,0,0,0
2009 - Archondakis Alan,Archondakis Alan,2009,6,2.4,3.22,4.37,6.88,0,0,0,0,20.55
2009 - Ashley Jean & Blakeborough Adele,Ashley Jean & Blakeborough Adele,2009,2,0,0,4.08,0,22.35,0,0,0,0
2009 - Ashley Michael & Kisby Giles,Ashley Michael & Kisby Giles,2009,3,2.5,0,0,6.88,0,22.83,0,0,0
2009 - Ashley Mike & Kisby Giles,Ashley Mike & Kisby Giles,2009,1,0,0,4.4,0,0,0,0,0,0
2009 - Ashwell Jason & Cole Nigel,Ashwell Jason & Cole Nigel,2009,1,0,0,4.6,0,0,0,0,0,0
2009 - Ashworth Robert & Hanton Duncan,Ashworth Robert & Hanton Duncan,2009,1,0,0,0,0,0,0,25.4,0,0
2009 - Auld Alison & Kelley Thomas,Auld Alison & Kelley Thomas,2009,1,0,0,3.72,0,0,0,0,0,0
2009 - Ayliffe Alastair & Page Tim,Ayliffe Alastair & Page Tim,2009,3,2.32,0,4.03,0,22.2,0,0,0,0
2009 - Back Leon & Barker Jerry,Back Leon & Barker Jerry,2009,1,0,4.23,0,0,0,0,0,0,0
2009 - Backshall Steve & Logan Stuart,Backshall Steve & Logan Stuart,2009,1,0,0,0,0,25.83,0,0,0,0
2009 - Baggs Adam & Taylor Charlie,Baggs Adam & Taylor Charlie,2009,1,0,0,0,8.18,0,0,0,0,0
2009 - Bagley Philip & Gould Kevin,Bagley Philip & Gould Kevin,2009,3,3.27,4.28,6.03,0,0,0,0,0,0
2009 - Bagnall Stephen,Bagnall Stephen,2009,1,0,0,0,0,0,0,0,0,20.6
2009 - Bailey Matthew,Bailey Matthew,2009,3,0,2.8,3.78,5.93,0,0,0,0,0
2009 - Bailey Matthew & Howson Peter,Bailey Matthew & Howson Peter,2009,2,1.93,0,0,0,19.73,0,0,0,0
2009 - Bainbridge Ian & Bainbridge J,Bainbridge Ian & Bainbridge J,2009,1,0,3.57,0,0,0,0,0,0,0
2009 - Baker Ben & Trevelyan Rowan,Baker Ben & Trevelyan Rowan,2009,2,0,0,3.97,0,0,20.18,0,0,0
2009 - Baker Paul,Baker Paul,2009,1,0,2.43,0,0,0,0,0,0,0
2009 - Bakewell William & Smith Jeremy,Bakewell William & Smith Jeremy,2009,3,0,3.08,3.92,0,0,20.5,0,0,0
2009 - Baldwin Simon & Middleton Jeremy,Baldwin Simon & Middleton Jeremy,2009,1,0,0,0,0,24.98,0,0,0,0
2009 - Ball Nicholas & Bevan Edward,Ball Nicholas & Bevan Edward,2009,1,0,0,0,0,28.58,0,0,0,0
2009 - Ball Nicholas & Bucknall Chris,Ball Nicholas & Bucknall Chris,2009,1,0,0,0,7.85,0,0,0,0,0
2009 - Bannister Peter,Bannister Peter,2009,1,0,3.18,0,0,0,0,0,0,0
2009 - Barber Geoff & Elmhirst Orlando,Barber Geoff & Elmhirst Orlando,2009,1,0,0,0,0,23.92,0,0,0,0
2009 - Barber Sarah & Ferguson Natasha,Barber Sarah & Ferguson Natasha,2009,1,0,0,0,0,0,24.12,0,0,0
2009 - Barber Sarah & Ferguson Tash,Barber Sarah & Ferguson Tash,2009,2,0,3.73,4.8,0,0,0,0,0,0
2009 - Barnes Caroline & Grimsey Damon,Barnes Caroline & Grimsey Damon,2009,1,0,3.23,0,0,0,0,0,0,0
2009 - Barnicote George,Barnicote George,2009,1,0,0,4.6,0,0,0,0,0,0
2009 - Barnicote George & Thompson Mark,Barnicote George & Thompson Mark,2009,1,2.3,0,0,0,0,0,0,0,0
2009 - Barrow Jonathan & Mumby Oliver,Barrow Jonathan & Mumby Oliver,2009,6,2.23,2.92,3.82,5.95,0,19.45,0,0,0
2009 - Bartlam Carl & Tennent Paul,Bartlam Carl & Tennent Paul,2009,3,2.5,3.23,4.25,0,0,0,0,0,0
2009 - Bartoli Michael & Murphy Adam,Bartoli Michael & Murphy Adam,2009,5,2.2,2.87,3.73,6.13,0,0,0,0,0
2009 - Barton Nick & Gray Simon,Barton Nick & Gray Simon,2009,1,0,0,0,0,23.8,0,0,0,0
2009 - Battison Gail,Battison Gail,2009,3,2.6,3.4,4.43,0,0,0,0,0,0
2009 - Batty Oliver & Jones William,Batty Oliver & Jones William,2009,3,0,3.23,3.97,0,0,20.22,0,0,0
2009 - Beaver Tim E & Brooks Michael,Beaver Tim E & Brooks Michael,2009,1,0,0,0,0,20.48,0,0,0,0
2009 - Bell David & Main Oliver,Bell David & Main Oliver,2009,4,0,3.4,3.98,6.17,24.6,0,0,0,0
2009 - Bell Roger & Stanway Peter,Bell Roger & Stanway Peter,2009,2,2.27,2.95,0,0,0,0,0,0,0
