 ,Name,Year,Races,WatersideA,WatersideB,WatersideC,WatersideD,DWSenior,DWJunior,DWEndeavour,DWVetJunior,DWSingles
1990 - Bushell R D & Heath M,Bushell R D & Heath M,1990,1,0,3.33,0,0,0,0,0,0,0
1990 - Bykerk Esther,Bykerk Esther,1990,2,3.03,0,0,0,0,0,0,0,24.38
1990 - Capleion A C & Mann A,Capleion A C & Mann A,1990,1,0,0,0,0,0,23.68,0,0,0
1990 - Carter 0 & Shirley S,Carter 0 & Shirley S,1990,4,2.63,3.72,4.47,6.97,0,0,0,0,0
1990 - Carter S,Carter S,1990,2,2.25,3.23,0,0,0,0,0,0,0
1990 - Castro I & Mullen S,Castro I & Mullen S,1990,1,0,0,0,0,23.37,0,0,0,0
1990 - Catchlove R A F & Elliott R N,Catchlove R A F & Elliott R N,1990,2,0,2.5,0,0,17.8,0,0,0,0
1990 - Cattermole I D & Cattermole J D,Cattermole I D & Cattermole J D,1990,1,0,0,0,0,25.12,0,0,0,0
1990 - Chaimbers N & Clayton J,Chaimbers N & Clayton J,1990,4,3.02,4.03,4.98,8.05,0,0,0,0,0
1990 - Chalcraft C D & Cleveland Y,Chalcraft C D & Cleveland Y,1990,4,2.77,4.08,4.25,0,26.63,0,0,0,0
1990 - Chambers D & Kelit D,Chambers D & Kelit D,1990,1,3.07,0,0,0,0,0,0,0,0
1990 - Chambers N G A & Clayton J,Chambers N G A & Clayton J,1990,1,0,0,0,0,29.8,0,0,0,0
1990 - Chapman B,Chapman B,1990,2,2.12,0,0,0,0,0,0,0,18.45
1990 - Chapman N & Oliver K,Chapman N & Oliver K,1990,1,0,0,3.87,0,0,0,0,0,0
1990 - Chart B M & Peaple M J,Chart B M & Peaple M J,1990,1,0,0,0,0,37.37,0,0,0,0
1990 - Charters S,Charters S,1990,4,2.22,2.98,3.6,5.9,0,0,0,0,0
1990 - Child M A & Pigdon J M,Child M A & Pigdon J M,1990,1,0,0,0,0,25.95,0,0,0,0
1990 - Child M & Pigdon J M,Child M & Pigdon J M,1990,2,0,3.18,4.23,0,0,0,0,0,0
1990 - Childb G & Morriss S,Childb G & Morriss S,1990,1,0,0,5.32,0,0,0,0,0,0
1990 - Childs G & Morriss S,Childs G & Morriss S,1990,2,3.18,4.4,0,0,0,0,0,0,0
1990 - Childs Gillian Mary & Morriss S,Childs Gillian Mary & Morriss S,1990,1,0,0,0,0,61.32,0,0,0,0
1990 - Choat J E,Choat J E,1990,1,0,0,0,0,0,0,0,0,24.28
1990 - Cianchi Anne Elizabeth & Cianchi P A,Cianchi Anne Elizabeth & Cianchi P A,1990,5,2.22,3.13,3.77,6.22,24.65,0,0,0,0
1990 - Clark J P,Clark J P,1990,2,0,2.77,0,5.38,0,0,0,0,0
1990 - Clark J P & Covell A,Clark J P & Covell A,1990,1,0,0,3.42,0,0,0,0,0,0
1990 - Clark J P & Kalis D,Clark J P & Kalis D,1990,1,1.93,0,0,0,0,0,0,0,0
1990 - Clark J P & Lund M,Clark J P & Lund M,1990,1,0,0,0,0,0,0,0,17.58,0
1990 - Clarke K J & Critchley D,Clarke K J & Critchley D,1990,4,2.27,0,3.83,6.13,25.45,0,0,0,0
1990 - Clarke N R & Clarke Susan Mary,Clarke N R & Clarke Susan Mary,1990,2,0,0,0,6.02,24.4,0,0,0,0
1990 - Clayton N & Shew D,Clayton N & Shew D,1990,1,2.83,0,0,0,0,0,0,0,0
1990 - Cobern R & Turner Janet,Cobern R & Turner Janet,1990,1,0,0,0,0,30.53,0,0,0,0
1990 - Coleman A,Coleman A,1990,2,2.1,2.77,0,0,0,0,0,0,0
1990 - Coleman C J & Linkin P,Coleman C J & Linkin P,1990,1,0,0,0,0,72.93,0,0,0,0
1990 - Collett I & Gluyas R,Collett I & Gluyas R,1990,1,2.92,0,0,0,0,0,0,0,0
1990 - Collins D & Gunn T,Collins D & Gunn T,1990,1,0,0,0,0,25.55,0,0,0,0
1990 - Cooke R W & Rous K S,Cooke R W & Rous K S,1990,1,0,0,0,0,22.63,0,0,0,0
1990 - Cooper S & Curtis S,Cooper S & Curtis S,1990,1,2.6,0,0,0,0,0,0,0,0
1990 - Coulson David,Coulson David,1990,1,1.87,0,0,0,0,0,0,0,0
1990 - Coulson David & Kinch R,Coulson David & Kinch R,1990,1,0,2.27,0,0,0,0,0,0,0
1990 - Courtier I & Harte J,Courtier I & Harte J,1990,2,2.2,0,0,0,22.72,0,0,0,0
1990 - Courtier P,Courtier P,1990,1,2.08,0,0,0,0,0,0,0,0
1990 - Covell A N & Goddard R,Covell A N & Goddard R,1990,1,0,0,0,0,0,19.02,0,0,0
1990 - Covell A & Goddard R,Covell A & Goddard R,1990,2,2.2,2.9,0,0,0,0,0,0,0
1990 - Cox M A R & Lawson D W M,Cox M A R & Lawson D W M,1990,5,2.7,4.03,4.6,7.92,0,24.37,0,0,0
1990 - Craddock J & Eade G M,Craddock J & Eade G M,1990,1,0,0,0,0,22.1,0,0,0,0
1990 - Cramer D A & Wells M,Cramer D A & Wells M,1990,1,0,0,0,0,23.82,0,0,0,0
1990 - Cramer D & Wells M,Cramer D & Wells M,1990,2,0,0,3.98,6.38,0,0,0,0,0
